OrderID,OrderDate,CustomerID,ProductID,RegionID,Quantity,Revenue,Cost
72,2025-10-12,12,11,R2,6,26592,20436.66
73,2025-04-14,3,24,R4,7,48867,36717.54
74,2025-04-18,49,9,R3,1,8361,5225.03
75,2025-07-04,17,22,R2,2,9280,7351.0
76,2025-07-16,52,21,R4,7,37184,28971.71
77,2025-01-12,17,2,R4,8,78560,53597.76
78,2025-02-07,51,30,R4,8,34160,26010.75
79,2025-04-25,20,5,R1,8,12736,8901.26
80,2025-01-21,1,26,R2,4,38112,30427.8
81,2025-11-27,92,10,R2,5,44270,31954.02
82,2025-12-24,98,4,R1,2,10240,7081.96
83,2025-10-26,25,13,R3,4,872,482.06
84,2025-06-04,59,9,R3,4,31948,22111.05
85,2025-10-08,32,1,R4,5,5530,3074.03
86,2025-09-13,87,21,R4,2,8828,5398.47
87,2025-08-06,48,8,R4,1,5738,4268.78
88,2025-07-05,88,13,R2,1,4985,3736.58
89,2025-09-16,9,7,R4,4,21228,16064.96
90,2025-04-10,30,15,R2,5,25160,14578.51
91,2025-11-16,64,20,R2,4,32588,21592.74
92,2025-12-07,8,20,R2,7,7630,4635.2
93,2025-11-02,19,14,R1,1,3216,2110.33
94,2025-12-31,41,24,R1,2,5826,3722.21
95,2025-04-05,84,30,R4,1,5308,3871.63
96,2025-07-13,48,11,R4,3,5955,3279.87
97,2025-05-24,11,12,R4,2,18786,15223.3
98,2025-04-17,49,12,R3,7,11459,6454.85
99,2025-08-31,26,12,R4,4,21988,14255.86
100,2025-08-31,4,21,R4,4,27324,15328.09
101,2025-01-18,60,3,R1,5,16965,12753.73
102,2025-11-07,44,12,R3,6,5484,3404.39
103,2025-12-20,41,30,R3,5,1305,972.0
104,2025-11-01,82,3,R1,4,7828,5309.74
105,2025-08-27,100,13,R3,7,57995,33975.27
106,2025-09-12,24,1,R3,3,12204,7792.33
107,2025-06-13,59,12,R1,4,26468,19937.79
108,2025-05-07,53,3,R1,8,74024,51598.17
109,2025-03-24,55,29,R1,2,9078,6523.84
110,2025-04-17,13,14,R4,8,24296,14899.11
111,2025-08-02,59,20,R2,2,10030,6312.09
112,2025-10-18,35,12,R3,5,17315,11577.46
113,2025-04-06,32,8,R2,5,48370,29062.03
114,2025-02-03,51,9,R2,4,7388,5366.63
115,2025-01-19,14,1,R4,4,30176,24046.69
116,2025-01-21,38,8,R1,1,3305,2353.6
117,2025-10-26,25,30,R1,6,51594,40442.18
118,2025-08-18,78,9,R1,2,19934,14783.47
119,2025-06-29,28,2,R3,6,15096,8482.82
120,2025-05-11,5,20,R2,1,5561,3672.64
121,2025-07-10,24,20,R3,2,7064,3945.22
122,2025-09-11,71,16,R1,7,13027,9964.06
123,2025-12-06,71,5,R1,3,20151,14866.59
124,2025-07-29,37,22,R3,7,7287,4622.42
125,2025-10-18,46,14,R4,1,6160,4459.9
126,2025-07-20,94,13,R2,1,7313,5802.43
127,2025-08-05,15,27,R1,7,67662,53342.44
128,2025-08-24,99,6,R2,1,1046,731.07
129,2025-11-25,51,3,R3,3,7770,5003.45
130,2025-03-24,67,6,R1,2,12974,8853.95
131,2025-04-12,39,5,R1,8,42824,24170.34
132,2025-11-22,50,3,R2,4,27308,19551.9
133,2025-04-11,61,6,R2,1,6749,5422.2
134,2025-03-22,50,12,R1,3,12741,10346.8
135,2025-04-09,6,29,R1,6,12768,8366.31
136,2025-08-22,71,28,R3,7,36743,25988.64
137,2025-08-06,50,22,R3,8,67600,45180.81
138,2025-01-12,1,20,R4,8,32432,21750.23
139,2025-11-13,100,27,R4,3,23859,15701.43
140,2025-02-04,17,12,R4,6,10212,7828.68
141,2025-09-16,66,22,R1,1,2334,1335.53
142,2025-06-10,100,24,R1,1,8456,6693.89
143,2025-12-01,18,1,R1,2,6746,3950.03
144,2025-09-09,37,26,R2,4,5092,3945.89
145,2025-11-09,97,9,R2,6,28230,22424.97
146,2025-08-22,19,9,R4,4,39588,24583.13
147,2025-09-17,31,11,R3,1,3459,2072.52
148,2025-03-24,82,30,R3,6,38244,22776.61
149,2025-05-16,15,25,R1,6,45732,32007.76
150,2025-10-24,89,29,R1,5,44880,32315.38
151,2025-07-21,95,26,R3,5,31780,25978.07
152,2025-10-23,19,12,R3,2,14892,9115.58
153,2025-11-12,96,2,R3,5,26400,19076.49
154,2025-10-27,85,29,R3,1,753,459.21
155,2025-05-29,79,21,R4,7,60193,39023.53
156,2025-01-25,17,16,R2,1,565,319.05
157,2025-10-18,46,10,R1,6,53700,32786.53
158,2025-10-26,39,19,R2,4,24800,17817.83
159,2025-09-01,21,5,R1,4,10584,7109.59
160,2025-02-02,82,5,R3,7,31703,25715.15
161,2025-01-29,83,27,R3,8,69440,51944.66
162,2025-05-08,22,29,R1,1,1208,837.76
163,2025-07-27,24,8,R2,1,1918,1061.3
164,2025-10-10,85,7,R2,7,24276,16748.73
165,2025-11-26,65,21,R4,3,25596,16215.92
166,2025-06-03,81,2,R4,1,6346,4937.17
167,2025-08-27,11,24,R4,3,11703,9585.75
168,2025-05-14,30,21,R1,2,11394,9008.6
169,2025-12-22,34,23,R1,5,46365,34003.79
170,2025-12-18,67,9,R3,4,6396,5037.57
171,2025-01-08,22,9,R2,4,11232,8440.41
172,2025-06-17,25,29,R4,6,24708,16120.76
173,2025-11-19,89,22,R4,8,71144,52529.66
174,2025-01-14,56,24,R2,5,18360,12039.06
175,2025-10-27,10,19,R2,3,2217,1235.45
176,2025-02-24,80,30,R2,6,15138,11190.01
177,2025-01-16,6,5,R1,2,1928,1094.63
178,2025-10-30,98,12,R2,2,12976,7512.08
179,2025-04-16,27,4,R1,1,1633,1261.93
180,2025-11-20,81,10,R4,2,4746,2735.7
181,2025-11-27,27,10,R3,6,42852,26590.23
182,2025-06-29,33,30,R3,1,6229,4956.98
183,2025-11-05,65,16,R3,1,6965,3889.51
184,2025-09-23,99,4,R3,8,7904,5495.08
185,2025-04-21,92,28,R1,5,14955,9985.98
186,2025-09-26,26,10,R1,1,5898,4025.52
187,2025-09-09,89,26,R2,8,79264,51025.42
188,2025-09-21,34,19,R2,5,18585,14930.04
189,2025-04-29,64,6,R1,2,16464,12557.7
190,2025-12-23,72,26,R1,6,36156,20814.65
191,2025-07-22,96,3,R4,1,6294,3811.97
192,2025-05-15,55,29,R2,7,28182,22682.52
193,2025-03-06,69,20,R1,6,58368,37250.36
194,2025-03-21,58,22,R3,3,23364,15618.26
195,2025-05-12,75,8,R2,6,46614,33726.59
196,2025-12-23,31,17,R2,5,25695,19368.34
197,2025-11-13,20,24,R2,4,22200,15823.75
198,2025-06-28,21,8,R3,4,17752,14437.52
199,2025-02-22,22,22,R1,4,25980,15347.92
200,2025-03-17,39,24,R3,7,32802,19778.67
201,2025-11-23,14,9,R2,7,54600,30530.22
202,2025-07-24,56,23,R2,5,38950,21655.1
203,2025-05-12,78,24,R4,1,4169,3315.03
204,2025-08-09,90,19,R4,4,39056,30469.92
205,2025-12-14,24,21,R1,8,58288,36984.54
206,2025-11-18,90,4,R4,4,27020,20063.72
207,2025-11-19,21,9,R4,8,61256,34015.91
208,2025-07-29,67,22,R2,6,2244,1469.71
209,2025-09-08,14,2,R3,4,11340,8429.91
210,2025-04-13,67,12,R1,8,72512,43894.79
211,2025-09-01,66,1,R3,6,41538,31168.86
212,2025-08-22,27,22,R2,7,60319,45596.91
213,2025-03-04,94,20,R3,1,4336,2706.0
214,2025-07-24,8,1,R1,7,49630,35719.33
215,2025-12-12,46,19,R3,2,7754,4900.09
216,2025-07-25,68,8,R4,8,29384,17466.55
217,2025-02-05,82,7,R4,4,10384,6701.27
218,2025-11-24,53,15,R3,3,23670,15285.65
219,2025-04-28,35,23,R4,5,35905,26328.46
220,2025-09-04,1,26,R3,6,25278,18369.24
221,2025-06-14,62,16,R4,2,12276,7258.1
222,2025-06-05,50,2,R1,6,15000,10399.12
223,2025-06-26,82,19,R1,1,3636,2934.17
224,2025-12-02,38,9,R1,3,12081,7250.16
225,2025-08-20,45,26,R2,4,27176,20755.73
226,2025-03-27,79,29,R1,5,17165,11732.36
227,2025-04-20,68,3,R4,2,18588,10817.73
228,2025-08-03,30,27,R2,8,66224,46386.26
229,2025-09-05,60,29,R2,8,33912,23213.02
230,2025-10-04,77,28,R1,3,16362,11066.43
231,2025-10-16,64,22,R3,8,50744,33743.23
232,2025-12-13,10,6,R3,1,536,383.03
233,2025-12-16,95,30,R3,2,17132,11662.2
234,2025-03-15,5,7,R4,3,17241,9922.29
235,2025-12-04,47,11,R4,4,19420,12962.87
236,2025-08-05,33,18,R1,5,24990,16141.0
237,2025-09-10,52,11,R3,6,21204,15409.6
238,2025-03-02,43,7,R3,5,11450,8110.51
239,2025-11-22,12,26,R1,7,64967,51266.26
240,2025-10-07,74,2,R4,5,9885,5453.33
241,2025-04-08,61,20,R1,7,18263,13135.48
242,2025-12-23,89,20,R1,4,3384,2470.63
243,2025-08-23,81,25,R2,2,6340,4974.91
244,2025-08-04,100,4,R1,6,14832,11307.41
245,2025-10-15,91,9,R3,3,21330,11928.7
246,2025-01-11,56,19,R1,8,75984,52503.54
247,2025-03-02,100,26,R4,7,52598,29883.51
248,2025-12-15,50,20,R2,8,55656,38857.76
249,2025-02-12,83,16,R2,3,1362,906.12
250,2025-01-05,88,22,R1,2,7550,5925.08
251,2025-03-08,61,1,R3,4,30340,22696.16
252,2025-04-06,7,12,R2,2,10004,7200.16
253,2025-12-30,64,15,R3,1,723,399.88
254,2025-01-08,84,22,R1,7,37072,23517.5
255,2025-11-04,22,28,R4,1,5381,3493.58
256,2025-10-22,94,15,R4,3,7722,6261.89
257,2025-03-01,47,21,R2,7,56098,36696.46
258,2025-08-20,35,26,R3,5,23925,13550.46
259,2025-11-30,91,26,R3,1,2675,1905.42
260,2025-06-08,75,14,R2,7,45822,33674.68
261,2025-11-05,99,29,R2,8,38728,28500.31
262,2025-06-14,34,9,R4,3,29433,23504.05
263,2025-01-22,37,27,R2,3,14058,11434.07
264,2025-10-08,88,25,R4,6,53748,30795.84
265,2025-10-11,63,26,R4,4,16136,10223.08
266,2025-01-30,87,13,R4,4,17492,12390.02
267,2025-01-05,50,15,R1,6,7356,4508.3
268,2025-10-24,67,29,R3,6,48048,32992.91
269,2025-04-14,25,7,R2,2,6320,4851.13
270,2025-05-29,47,19,R3,7,60718,47443.63
271,2025-05-07,6,30,R4,6,11628,7562.28
272,2025-08-26,11,5,R3,1,5851,3661.25
273,2025-11-07,3,4,R1,4,37856,25791.49
274,2025-10-18,28,9,R3,7,12537,10099.24
275,2025-10-31,78,5,R3,1,5751,3475.14
276,2025-04-03,49,3,R1,1,770,539.38
277,2025-12-28,59,16,R1,7,15148,11220.45
278,2025-02-16,33,11,R2,2,16996,11151.79
279,2025-08-18,21,12,R2,4,12080,6770.0
280,2025-05-12,46,2,R1,1,4425,3373.27
281,2025-12-30,95,21,R4,1,1855,1092.77
282,2025-01-03,26,22,R3,8,15416,10438.11
283,2025-07-10,33,13,R1,6,48510,31652.99
284,2025-08-14,31,26,R2,1,7866,5849.56
285,2025-04-10,5,6,R2,2,12624,9972.34
286,2025-03-13,100,15,R1,7,3892,2800.92
287,2025-08-20,44,11,R2,8,16752,12054.9
288,2025-03-15,43,8,R1,3,22785,15936.08
289,2025-03-16,57,28,R2,5,35260,23313.24
290,2025-03-21,4,9,R3,6,17694,10977.03
291,2025-02-25,41,15,R4,2,5424,4416.37
292,2025-01-30,81,29,R2,8,39112,22770.27
293,2025-04-14,47,14,R3,4,16404,9454.32
294,2025-05-29,54,29,R2,1,5009,2950.17
295,2025-11-24,3,15,R3,3,22374,12317.32
296,2025-09-27,37,6,R3,7,6048,4815.63
297,2025-04-22,36,19,R2,3,9453,6530.57
298,2025-04-28,92,6,R2,2,3264,2578.94
299,2025-09-11,98,9,R2,4,9780,6996.19
300,2025-12-29,81,26,R2,5,17570,9711.11
301,2025-12-21,94,17,R4,1,8694,6684.6
302,2025-06-21,37,27,R4,2,906,598.48
303,2025-09-02,18,28,R3,4,12992,9120.96
304,2025-07-07,5,6,R3,1,6035,4166.28
305,2025-08-17,67,3,R1,6,25254,19457.31
306,2025-06-14,100,23,R4,1,4976,3909.43
307,2025-09-11,58,17,R1,3,1614,993.83
308,2025-02-15,29,20,R2,3,5646,3580.79
309,2025-10-12,4,1,R1,4,17932,9948.24
310,2025-11-03,82,19,R4,4,29908,17280.05
311,2025-02-18,92,6,R1,5,11080,7484.63
312,2025-10-27,65,25,R3,2,4398,2563.23
313,2025-03-12,70,19,R2,4,10448,7632.99
314,2025-08-25,96,13,R2,1,6569,4843.62
315,2025-11-02,78,17,R1,7,7357,5589.59
316,2025-06-23,52,8,R3,7,66129,50732.99
317,2025-06-14,52,28,R1,6,52056,30691.69
318,2025-12-15,46,8,R4,1,6170,3575.13
319,2025-04-06,9,11,R4,4,33880,24755.03
320,2025-04-26,18,14,R4,8,7728,5938.99
321,2025-01-21,5,28,R3,5,45420,34869.35
322,2025-01-19,80,4,R3,2,17448,9660.79
323,2025-05-02,6,10,R1,5,29470,21360.75
324,2025-03-03,8,20,R3,2,15682,11124.29
325,2025-03-17,57,4,R2,5,34300,24211.79
326,2025-05-21,32,24,R1,5,38200,27301.05
327,2025-10-19,29,21,R4,4,36748,27259.56
328,2025-08-24,71,10,R4,8,42296,23616.39
329,2025-06-20,29,7,R4,7,2758,2205.11
330,2025-03-25,31,11,R3,8,36976,23180.31
331,2025-04-21,38,2,R1,3,27687,15727.2
332,2025-06-28,57,22,R1,7,51849,33474.26
333,2025-02-25,67,8,R2,7,40047,29251.35
334,2025-03-13,87,7,R3,2,15972,9943.28
335,2025-11-19,91,21,R2,7,13251,7303.52
336,2025-10-09,75,4,R4,7,66990,39550.96
337,2025-05-24,80,20,R1,7,53270,39260.72
338,2025-05-28,93,12,R3,6,39600,27405.29
339,2025-11-01,50,21,R3,1,8384,5472.92
340,2025-06-03,24,18,R3,3,22011,15525.83
341,2025-10-25,30,3,R3,6,25050,20262.1
342,2025-04-15,55,29,R1,1,977,605.02
343,2025-09-12,39,30,R3,7,60739,46947.15
344,2025-12-17,56,13,R4,6,5202,3696.41
345,2025-06-29,58,1,R1,4,7284,4811.59
346,2025-09-14,52,21,R2,4,28404,19354.84
347,2025-08-14,99,20,R3,2,5994,3883.71
348,2025-07-07,10,27,R3,3,6030,4384.41
349,2025-05-31,89,11,R4,3,26358,16560.21
350,2025-09-19,27,17,R2,7,22316,12636.34
351,2025-10-17,78,4,R3,1,6940,3837.11
352,2025-01-02,40,23,R1,5,33565,26092.85
353,2025-10-28,2,22,R1,4,12280,8404.71
354,2025-10-11,73,9,R2,4,27740,19763.93
355,2025-03-16,21,17,R1,1,1840,1049.82
356,2025-09-25,63,27,R4,7,8519,6180.77
357,2025-12-17,99,19,R3,3,12309,7945.93
358,2025-03-28,5,9,R1,2,11832,7119.86
359,2025-11-16,50,1,R1,4,26748,18919.36
360,2025-01-23,57,2,R2,4,15404,8655.11
361,2025-10-28,23,11,R1,8,41400,27446.61
362,2025-05-10,64,3,R2,7,68467,41749.64
363,2025-06-08,52,29,R4,1,4187,2401.73
364,2025-03-29,46,13,R2,1,4962,3259.67
365,2025-07-05,15,11,R4,6,40830,29636.3
366,2025-03-05,55,27,R3,4,26184,15752.89
367,2025-05-26,45,8,R4,1,4773,3481.21
368,2025-06-24,20,8,R2,2,6832,4255.04
369,2025-03-07,72,15,R4,4,11232,7293.36
370,2025-04-21,93,13,R4,4,20280,16360.96
371,2025-09-16,27,8,R4,3,13416,9537.53
372,2025-08-14,76,12,R2,7,59913,36390.34
373,2025-03-04,87,17,R1,5,32520,18138.15
374,2025-10-18,19,10,R1,7,11263,8307.13
375,2025-04-29,42,7,R1,2,18814,14989.86
376,2025-09-14,98,10,R2,2,10598,6080.54
377,2025-05-28,17,27,R4,5,30155,19869.49
378,2025-08-26,100,21,R2,5,15450,8620.87
379,2025-12-14,85,23,R3,7,4291,3123.62
380,2025-12-25,60,8,R4,6,10800,6469.71
381,2025-02-28,35,30,R2,1,6829,3829.7
382,2025-03-24,56,7,R3,3,19314,14472.89
383,2025-10-10,40,21,R2,4,38164,26120.62
384,2025-09-24,33,30,R4,6,1290,748.47
385,2025-12-02,37,29,R1,1,4205,3086.0
386,2025-01-20,41,7,R3,2,14070,10377.51
387,2025-07-21,96,20,R2,5,44195,25380.4
388,2025-08-06,57,30,R3,8,68264,38546.03
389,2025-12-24,27,14,R2,8,26408,14835.93
390,2025-12-26,72,9,R2,3,12198,8500.32
391,2025-05-08,8,6,R3,6,41664,23956.2
392,2025-11-22,40,5,R2,8,64872,39846.04
393,2025-05-04,1,17,R4,3,17874,13199.47
394,2025-03-10,91,5,R2,6,12792,8929.2
395,2025-03-28,87,22,R2,8,54824,42456.59
396,2025-02-28,89,10,R1,6,49032,29700.49
397,2025-01-31,36,10,R2,2,10522,7059.89
398,2025-02-27,21,11,R4,8,76200,49377.87
399,2025-03-28,72,3,R1,1,7876,6441.58
400,2025-09-06,11,24,R3,5,9910,7176.61
401,2025-08-11,63,7,R3,1,6086,4858.33
402,2025-11-26,37,21,R3,4,5920,3477.62
403,2025-01-15,4,25,R4,3,15162,9845.14
404,2025-11-23,68,28,R2,2,10568,7930.52
405,2025-06-17,49,6,R3,6,23832,15478.93
406,2025-10-10,48,27,R3,4,4580,2570.01
407,2025-10-18,81,30,R4,1,3746,2560.33
408,2025-09-13,94,6,R3,2,5048,3714.09
409,2025-03-25,18,15,R4,2,1708,1331.69
410,2025-09-03,25,7,R3,1,724,562.56
411,2025-09-19,55,5,R3,2,2212,1523.95
412,2025-08-04,44,3,R4,1,3088,2452.12
413,2025-03-26,49,10,R1,8,75440,55246.27
414,2025-10-18,26,16,R1,6,51996,35062.37
415,2025-10-01,81,28,R2,7,10738,8257.63
416,2025-01-31,93,22,R3,5,47285,33298.28
417,2025-07-08,62,22,R2,5,29130,20193.18
418,2025-11-21,4,28,R2,4,30116,22185.46
419,2025-03-17,85,19,R3,7,42686,29585.42
420,2025-10-17,57,13,R3,2,7846,4697.68
421,2025-04-14,71,24,R1,4,17412,12630.87
422,2025-04-07,68,22,R3,8,31352,21933.41
423,2025-04-26,70,19,R1,2,13770,10099.79
424,2025-08-14,18,28,R1,2,15472,11977.76
425,2025-07-20,70,6,R2,8,13800,8099.73
426,2025-11-13,8,13,R2,1,6300,3536.0
427,2025-12-26,77,7,R4,5,10870,8054.73
428,2025-08-07,12,20,R2,2,12020,7156.24
429,2025-06-24,98,24,R1,5,11050,6791.45
430,2025-09-20,95,17,R3,8,7296,5621.33
431,2025-06-30,13,12,R3,2,1518,1214.17
432,2025-12-12,32,9,R3,4,30076,16714.63
433,2025-10-25,57,4,R1,8,16072,9159.65
434,2025-05-13,24,5,R3,7,17941,12717.39
435,2025-05-09,69,23,R3,8,3408,1897.18
436,2025-03-19,63,17,R4,1,780,444.71
437,2025-11-14,83,22,R4,8,22344,16469.5
438,2025-08-18,51,8,R1,6,33564,23247.44
439,2025-06-09,17,19,R1,4,11920,9192.45
440,2025-08-28,43,19,R4,7,41958,26638.17
441,2025-06-21,75,16,R3,4,2144,1323.19
442,2025-11-08,6,21,R2,3,14001,9153.8
443,2025-02-02,65,9,R3,3,2274,1812.53
444,2025-02-18,26,25,R4,2,12290,9387.27
445,2025-05-02,19,22,R1,5,28975,21721.79
446,2025-09-18,82,8,R3,7,39753,22512.97
447,2025-06-22,86,11,R4,6,25128,19310.59
448,2025-06-28,20,5,R2,1,7624,5026.85
449,2025-07-22,73,25,R3,3,29442,16720.34
450,2025-06-04,93,10,R3,6,8424,6728.51
451,2025-10-26,11,19,R2,5,48550,31336.22
452,2025-08-28,46,25,R4,2,16276,10354.78
453,2025-03-31,36,29,R3,1,2896,2082.63
454,2025-05-02,91,1,R2,1,6746,4526.15
455,2025-11-05,37,28,R1,4,16640,12449.22
456,2025-03-08,77,2,R1,2,19256,12364.53
457,2025-03-11,1,7,R3,1,5490,4387.5
458,2025-04-19,42,11,R1,8,54720,39105.23
459,2025-06-22,23,2,R4,1,1628,1170.7
460,2025-06-21,100,16,R4,5,38955,30610.64
461,2025-01-14,41,19,R3,1,7001,5011.11
462,2025-06-18,21,3,R1,3,10944,6440.74
463,2025-02-16,46,27,R3,7,40859,28414.92
464,2025-10-29,72,5,R3,4,17696,13619.42
465,2025-09-02,98,2,R3,8,74904,46824.81
466,2025-09-25,68,9,R2,5,1740,1219.21
467,2025-02-21,84,26,R3,3,11814,7776.3
468,2025-02-16,4,20,R2,2,2370,1651.14
469,2025-04-15,72,25,R2,5,30950,23186.23
470,2025-04-01,95,28,R2,1,5947,4520.25
471,2025-05-05,57,28,R4,4,23356,18527.8
472,2025-07-19,59,7,R3,1,1966,1431.66
473,2025-01-08,9,26,R4,6,7092,4337.41
474,2025-07-12,53,30,R4,4,2812,1737.87
475,2025-05-15,91,14,R2,4,24016,14526.45
476,2025-08-06,83,9,R3,8,29984,24435.85
477,2025-03-22,62,28,R3,3,15348,9612.34
478,2025-06-19,1,16,R2,3,16317,11982.37
479,2025-11-02,58,7,R1,4,24416,13733.29
480,2025-08-13,24,14,R2,5,3000,2302.07
481,2025-03-19,2,5,R3,3,25305,18946.47
482,2025-02-19,97,6,R4,7,11746,7773.91
483,2025-11-25,86,23,R4,6,4434,3139.38
484,2025-04-14,81,23,R1,1,2409,1653.27
485,2025-04-29,74,14,R1,1,991,810.15
486,2025-06-12,9,29,R1,2,16368,13291.78
487,2025-09-27,55,1,R2,4,36216,21365.36
488,2025-10-07,65,4,R3,8,11728,7556.93
489,2025-04-21,29,24,R1,5,15515,8596.95
490,2025-05-18,9,2,R2,1,6886,5255.19
491,2025-07-05,35,1,R3,1,7634,5319.92
492,2025-10-08,43,23,R4,5,33705,22377.75
493,2025-10-04,54,13,R2,7,45598,35933.66
494,2025-03-15,82,1,R2,5,31880,26064.24
495,2025-04-12,85,4,R1,1,1011,666.83
496,2025-10-13,42,22,R4,6,45972,37344.69
497,2025-01-01,61,24,R4,6,59424,41446.37
498,2025-07-14,31,27,R4,6,7500,4921.89
499,2025-09-27,35,20,R3,2,18194,13269.71
500,2025-11-10,98,9,R3,8,47176,32596.34
501,2025-09-02,74,8,R2,2,17726,11491.87
502,2025-04-15,68,6,R3,4,12092,7148.35
503,2025-12-05,59,6,R1,6,38676,25049.52
504,2025-08-08,16,14,R2,5,31730,18332.22
505,2025-07-02,85,26,R3,8,13128,8195.2
506,2025-05-29,58,23,R1,8,64296,48047.33
507,2025-03-31,98,17,R2,1,2338,1517.53
508,2025-09-24,85,8,R3,6,38664,23904.94
509,2025-10-12,26,1,R3,1,9876,5907.59
510,2025-10-06,36,30,R3,5,20810,12936.73
511,2025-08-13,12,17,R4,2,7008,4097.17
512,2025-05-29,80,25,R3,1,7450,4853.27
513,2025-01-22,92,25,R3,7,50820,36845.02
514,2025-05-12,46,8,R4,3,10017,8153.6
515,2025-12-31,75,12,R1,4,22388,17512.97
516,2025-02-10,97,15,R4,7,61698,40842.37
517,2025-11-26,97,26,R1,2,19824,13919.27
518,2025-08-25,90,27,R4,7,55713,33293.11
519,2025-02-03,57,13,R4,3,25755,19400.11
520,2025-01-05,86,8,R2,7,63518,35630.98
521,2025-12-15,38,18,R3,7,54138,31502.48
522,2025-04-24,10,19,R1,2,16682,9572.59
523,2025-04-21,73,15,R1,4,22792,15506.62
524,2025-01-29,71,23,R4,3,20601,15874.09
525,2025-11-17,19,11,R3,4,34760,28336.42
526,2025-04-06,69,9,R3,2,10656,6964.82
527,2025-12-06,39,18,R4,7,7266,4598.28
528,2025-05-08,49,26,R4,5,25980,15706.0
529,2025-01-27,27,18,R3,8,65688,48718.56
530,2025-03-14,47,30,R3,4,30712,24515.31
531,2025-10-12,85,2,R3,1,8933,5076.3
532,2025-10-17,42,2,R3,4,29576,18594.85
533,2025-12-30,27,26,R4,7,52416,31713.89
534,2025-04-15,8,6,R4,2,2004,1176.33
535,2025-02-06,77,16,R2,1,9392,7035.02
536,2025-03-26,64,8,R3,4,35824,27811.67
